order        minwl1        minwl2        maxwl1        maxwl2             dwl
----- ------------- ------------- ------------- ------------- ---------------
    0  3268.4979624 3282.95056656 3219.91961211 3334.43361922  0.030791868317
    1 3295.41096159 3356.57113549 3289.50986913 3362.89658431 0.0320287793143
    2 3342.47863055  3378.4466089 3313.33306606 3408.10106932  0.031327506018
    3 3362.96521197 3404.62282778 3339.17218322 3429.11739294 0.0316326528246
    4 3393.34595847 3448.79540033 3379.41442445  3462.0822051  0.032013703179
    5 3426.39606886 3482.44448253 3412.36174582 3495.83418876 0.0324465478448
    6 3460.09029029 3516.71299528   3445.909145 3530.24257434 0.0330552755236
    7 3494.44810681 3551.63758859 3480.09878009  3565.3271875 0.0338700522047
    8 3529.48931081 3587.30342716 3515.02346471 3601.10831096 0.0348937126573
    9 3565.23495932 3623.66096846 3550.62291722 3637.60738441 0.0352598419595
   10  3601.6988611 3660.75574093 3586.94550246 3674.84072956 0.0356330129371
   11 3638.91915171 3698.61086757 3624.01385987 3712.84289317 0.0360134147209
   12 3676.91141159  3737.2501139 3661.85112043 3751.63203361 0.0364013096164
   13 3715.70035408 3776.69854942 3700.48184357 3791.23331601 0.0367969346362
   14 3755.31128556 3816.98198262 3739.93118788 3831.67265812 0.0372004879696
   15 3795.77104755 3858.12750502 3780.22562624  3872.9774043 0.0376132398487
   16 3837.06905307 3900.13112219  3821.3545084 3915.14372104  0.038033541236
   17  3879.3103831 3943.11424338 3863.45497607 3958.26511876 0.0384626100827
   18  3922.5190854 3987.02097996 3906.45590883 4002.36805935 0.0389007801791
   19 3966.62464492 4031.91054295 3950.42002781 4047.39751747  0.039351421683
   20 4011.80954074  4077.8167219 3995.38046022 4093.51355335 0.0398087406193
   21 4057.94955442 4124.77454917 4041.37143571 4140.61808883 0.0402770138298
   22 4105.19386657 4172.78110463 4088.38099306 4188.84371172 0.0407548274434
   23 4153.55432937 4221.95419489 4136.54268257  4238.2058234 0.0412434202226
   24 4203.06375434 4272.29478018 4185.84842892 4288.73989379 0.0417432151035
   25 4253.76336311 4323.84488736 4236.33929178 4340.48813216 0.0422545920492
   26 4305.69090719 4376.64444567 4288.05275338 4393.49077276 0.0427788294437
   27 4358.90460588 4430.74952073 4341.04730041 4447.80374895   0.04331470532
   28 4413.44635003 4486.20392065 4395.36399313 4503.47159886 0.0438635755299
   29 4469.36030384 4543.05925701 4451.05353537 4560.54123908 0.0444266488448
   30 4526.71214424 4601.36508656 4508.16289633 4619.07617884 0.0450029482499
   31 4585.55127706 4661.18694113 4566.75959342 4679.12870864 0.0455937689276
   32 4704.86668751 4831.77452423 4694.32319262 4842.29602004 0.0668145070931
   33 4771.40444489 4900.11171924 4760.79946259 4910.66652757 0.0677342326171
   34 4854.74391015 4963.68471222 4821.97667792 4994.15101922 0.0678355891559
   35 4910.19137669 5035.37354165 4891.64728046 5053.35490504 0.0696574196036
   36 4982.61739481 5109.60708219 4963.80466238 5127.84216673 0.0706632843849
   37 5057.19038916 5186.03653049 5038.09094866 5204.54716631 0.0717003814761
   38 5134.01048512 5264.78257838  5114.6299045 5283.56929551 0.0727700943062
   39  5213.1833064 5345.93197142  5193.4992676 5365.01453661  0.073873889166
   40 5294.82049532 5429.60863956 5274.82281611 5448.99591603  0.075013321698
   41 5379.04028272 5515.94304912 5358.73046828 5535.63400115 0.0761900439784
   42 5465.96811296 5605.04434512 5445.32197451 5625.05744527 0.0774058122961
   43 5555.73733047 5697.05890819 5534.74263055 5717.40358607 0.0786623028271
   44 5648.48993486 5792.13318142 5627.13484441 5812.81910402 0.0799616721879
   45  5744.3774129 5890.42281827 5722.64974613 5911.46074762  0.081306086563
